PPP,Turns,Adv,GoalVis%,StartVis%,VisMag,Obstacle Use,Unreachable Cells,VisWeighted,Bumper,Decision Bumper
PPP0.ppp,2,38,0.06,0.79,1.38,0.46,0,4.10,73.00,75.90
PPP1.ppp,3,38,0.01,0.82,1.36,0.56,0,3.71,6.80,6.00
PPP2.ppp,3,38,0.10,0.55,0.88,0.76,0,2.69,0.00,0.00
PPP3.ppp,4,38,0.06,0.61,0.93,1.00,30,2.10,29.70,25.60
PPP4.ppp,1,38,0.72,0.85,1.61,0.54,2,5.94,97.90,100.00
PPP5.ppp,2,38,0.01,0.66,0.87,0.68,0,2.22,59.20,47.30
PPP6.ppp,3,38,0.07,0.64,0.84,0.96,0,1.75,48.70,48.90
PPP7.ppp,1,38,0.05,0.57,0.87,0.98,0,2.14,96.70,100.00
PPP8.ppp,2,38,0.39,0.46,0.83,0.86,94,2.85,0.00,0.00
PPP9.ppp,3,38,0.08,0.59,0.90,0.96,0,2.11,51.80,50.30
PPP10.ppp,6,38,0.06,0.64,0.93,0.98,0,2.15,0.00,0.00
PPP11.ppp,1,38,0.32,0.43,0.84,0.78,0,2.95,96.30,100.00
PPP12.ppp,2,38,0.71,0.57,1.31,0.48,0,4.99,61.20,56.80
PPP13.ppp,1,38,0.60,0.52,1.30,0.64,0,4.75,97.20,100.00
PPP14.ppp,1,38,0.09,0.70,1.08,0.70,0,3.11,96.30,99.50
PPP15.ppp,2,38,0.10,0.53,1.05,0.60,0,3.37,45.10,29.80
PPP16.ppp,7,44,0.07,0.60,1.10,0.84,0,2.94,14.80,15.50
PPP17.ppp,1,38,0.47,0.69,1.25,0.60,0,4.55,97.40,100.00
PPP18.ppp,1,38,0.07,0.69,1.04,0.72,0,3.04,98.10,100.00
PPP19.ppp,2,38,0.01,0.55,1.08,0.76,0,2.94,63.40,45.60
PPP20.ppp,2,38,0.33,0.76,1.30,0.34,0,4.93,48.90,48.60
PPP21.ppp,3,38,0.34,0.80,1.59,0.42,0,5.50,0.00,0.00
PPP22.ppp,1,38,0.21,0.50,0.82,1.00,0,2.30,98.30,100.00
PPP23.ppp,2,38,0.61,0.40,1.04,0.50,0,4.00,55.60,52.60
PPP24.ppp,5,38,0.12,0.72,1.10,0.68,0,3.32,0.00,0.00
PPP25.ppp,2,38,0.16,0.80,1.53,0.36,0,5.10,98.70,100.00
PPP26.ppp,1,38,0.08,0.64,0.98,0.88,0,2.64,96.60,100.00
PPP27.ppp,1,38,0.11,0.63,0.91,1.00,0,2.14,91.60,99.80
PPP28.ppp,3,38,0.08,0.52,0.92,0.80,0,2.44,50.80,48.60
PPP29.ppp,1,38,0.08,0.15,0.87,0.90,0,2.10,99.40,100.00
PPP30.ppp,2,38,0.13,0.53,0.93,0.70,0,2.89,57.30,50.00
PPP31.ppp,1,38,0.48,0.63,1.50,0.42,0,5.50,97.70,99.60
PPP32.ppp,2,38,0.12,0.52,1.10,0.72,0,3.30,82.60,92.40
PPP33.ppp,5,48,0.07,0.56,0.82,1.10,0,1.82,74.10,78.50
PPP34.ppp,1,38,0.05,0.72,1.10,0.68,0,3.12,95.20,99.80
PPP35.ppp,2,38,0.09,0.49,1.45,0.34,0,4.63,98.20,100.00
PPP36.ppp,1,38,0.45,0.43,0.94,0.68,0,3.59,99.40,100.00
PPP37.ppp,7,44,0.07,0.34,0.94,0.86,0,2.44,18.60,22.90
PPP38.ppp,1,38,0.33,0.51,0.85,0.86,4,2.86,96.30,100.00
PPP39.ppp,1,38,0.07,0.12,1.00,0.80,0,2.27,99.50,100.00
PPP40.ppp,1,38,0.11,0.56,0.95,0.94,0,2.54,95.10,100.00
PPP41.ppp,1,38,0.32,0.59,1.21,0.46,0,4.49,97.90,100.00
PPP42.ppp,1,38,0.07,0.63,0.86,1.02,0,1.90,97.30,100.00
PPP43.ppp,7,44,0.07,0.35,0.81,0.96,0,2.03,14.40,16.30
PPP44.ppp,1,38,0.63,0.57,1.17,0.56,2,4.48,97.50,100.00
PPP45.ppp,1,38,0.16,0.50,0.92,0.84,0,2.78,93.80,99.80
PPP46.ppp,2,38,0.03,0.56,1.06,0.68,0,3.08,59.70,47.70
PPP47.ppp,1,38,0.71,0.76,1.35,0.52,0,5.19,96.70,100.00
PPP48.ppp,2,38,0.22,0.36,0.75,0.70,0,2.77,78.00,82.00
PPP49.ppp,2,38,0.03,0.53,1.10,0.74,0,3.04,53.90,50.10
PPP50.ppp,2,38,0.13,0.88,1.77,0.22,0,5.85,0.00,0.00
PPP51.ppp,1,38,0.52,0.81,1.48,0.54,2,5.35,97.80,100.00
PPP52.ppp,1,38,0.14,0.58,1.04,0.88,10,2.86,95.80,100.00
PPP53.ppp,1,38,0.05,0.73,1.28,0.80,0,3.37,93.70,99.40
PPP54.ppp,2,38,0.24,0.39,0.87,0.64,0,2.99,44.20,41.30
PPP55.ppp,1,38,0.08,0.38,0.93,0.94,0,2.35,98.80,100.00
PPP56.ppp,1,38,0.72,0.85,1.61,0.54,2,5.94,97.30,100.00
PPP57.ppp,3,38,0.01,0.68,1.23,0.58,0,3.37,9.30,9.70
PPP58.ppp,1,38,0.13,0.64,0.90,0.62,0,2.90,96.90,100.00
PPP59.ppp,1,38,0.08,0.46,0.87,0.66,0,2.83,98.30,100.00
