PPP,Turns,Adv,GoalVis%,StartVis%,VisMag,Obstacle Use,Unreachable Cells,VisWeighted,Bumper,Decision Bumper
PPP0.ppp,1,38,0.25,0.68,1.30,0.38,0,4.76,96.50,100.00
PPP1.ppp,2,38,0.50,0.64,1.42,0.54,0,5.13,29.20,25.30
PPP2.ppp,4,38,0.39,0.37,0.66,1.04,0,1.84,87.40,81.80
PPP3.ppp,3,38,0.32,0.86,1.53,0.26,0,5.54,62.40,71.40
PPP4.ppp,7,40,0.25,0.32,0.57,0.92,10,1.66,26.90,25.40
PPP5.ppp,13,38,0.33,0.03,0.72,1.00,274,1.76,75.80,79.80
PPP6.ppp,3,38,0.47,0.38,0.98,0.54,0,3.76,90.10,93.70
PPP7.ppp,2,38,0.53,0.27,1.25,0.50,0,4.62,6.10,6.70
PPP8.ppp,3,38,0.05,0.08,0.47,1.14,0,0.59,57.30,48.30
PPP9.ppp,2,38,0.50,0.22,0.71,1.00,0,2.36,81.80,94.60
PPP10.ppp,5,46,0.10,0.06,0.76,0.94,0,1.72,73.70,84.50
PPP11.ppp,3,38,0.24,0.18,0.59,1.12,0,1.37,0.00,0.00
PPP12.ppp,2,38,0.45,0.43,1.34,0.48,0,4.86,80.50,92.60
PPP13.ppp,3,38,0.29,0.08,0.69,1.00,0,1.82,0.00,0.00
PPP14.ppp,3,38,0.30,0.23,0.59,1.20,10,1.37,28.90,26.80
PPP15.ppp,2,38,0.55,0.43,1.11,0.50,0,4.52,92.60,95.50
PPP16.ppp,3,38,0.15,0.37,0.89,1.04,86,1.99,0.00,0.00
PPP17.ppp,4,38,0.57,0.15,0.65,1.08,0,1.76,72.70,77.90
PPP18.ppp,3,38,0.59,0.28,1.01,0.78,90,3.55,0.00,0.00
PPP19.ppp,3,38,0.54,0.02,0.64,0.98,108,1.88,0.00,0.00
PPP20.ppp,3,38,0.65,0.80,1.84,0.18,0,7.11,11.80,11.60
PPP21.ppp,1,38,0.32,0.29,0.56,1.00,0,1.85,98.50,100.00
PPP22.ppp,2,38,0.39,0.35,0.60,1.00,0,1.99,0.00,0.00
PPP23.ppp,3,38,0.41,0.27,0.60,1.00,0,1.77,59.80,66.90
PPP24.ppp,3,38,0.08,0.42,0.69,1.12,0,1.53,83.30,83.90
PPP25.ppp,4,40,0.36,0.32,1.10,0.62,8,3.76,50.50,42.70
PPP26.ppp,1,38,0.31,0.36,0.91,0.68,0,3.19,94.50,99.30
PPP27.ppp,5,46,0.05,0.06,0.76,1.00,128,1.40,69.70,66.60
PPP28.ppp,5,38,0.25,0.49,0.82,0.78,0,2.74,27.10,24.10
PPP29.ppp,3,38,0.28,0.02,0.69,0.98,108,1.80,0.00,0.00
PPP30.ppp,5,40,0.32,0.36,0.58,1.06,0,1.74,0.00,0.00
PPP31.ppp,2,38,0.40,0.08,0.57,1.06,0,1.55,99.80,100.00
PPP32.ppp,3,38,0.39,0.41,0.76,0.80,0,2.87,68.80,78.60
PPP33.ppp,5,48,0.04,0.06,0.76,1.00,128,1.39,68.30,67.40
PPP34.ppp,1,38,0.09,0.36,0.67,1.00,0,1.70,98.80,100.00
PPP35.ppp,2,38,0.34,0.65,1.02,0.82,54,3.20,92.90,99.60
PPP36.ppp,2,38,0.44,0.21,0.67,0.94,0,2.17,62.10,55.40
PPP37.ppp,3,38,0.64,0.69,1.34,0.40,0,5.17,76.30,81.60
PPP38.ppp,3,38,0.43,0.22,0.79,0.86,0,2.72,0.00,0.00
PPP39.ppp,3,38,0.39,0.14,0.73,1.22,0,1.75,0.00,0.00
PPP40.ppp,1,38,0.57,0.22,0.85,0.92,0,2.90,98.60,100.00
PPP41.ppp,3,38,0.17,0.43,0.79,0.82,4,2.27,0.00,0.00
PPP42.ppp,6,40,0.02,0.26,0.66,0.94,60,1.48,38.10,35.20
PPP43.ppp,3,38,0.49,0.66,1.25,0.44,0,4.66,75.50,80.40
PPP44.ppp,3,38,0.64,0.69,1.34,0.42,0,5.12,74.80,80.80
PPP45.ppp,3,38,0.07,0.24,0.75,0.96,0,1.83,58.80,63.40
PPP46.ppp,3,38,0.07,0.45,0.71,0.92,0,1.95,62.00,61.20
PPP47.ppp,1,38,0.09,0.41,0.70,1.00,0,1.78,98.80,100.00
PPP48.ppp,5,40,0.54,0.02,0.64,1.00,108,1.84,0.00,0.00
PPP49.ppp,2,38,0.37,0.17,0.73,0.90,0,2.39,98.90,100.00
PPP50.ppp,3,38,0.35,0.42,0.77,0.80,0,2.82,69.90,75.60
PPP53.ppp,3,38,0.33,0.23,0.70,1.20,34,1.58,0.00,0.00
PPP54.ppp,3,38,0.41,0.31,0.62,1.08,0,1.67,62.40,62.20
PPP55.ppp,1,38,0.54,0.47,1.06,0.84,0,3.67,97.10,100.00
PPP56.ppp,3,38,0.40,0.41,0.79,0.70,10,3.11,73.30,67.70
PPP57.ppp,1,38,0.25,0.31,1.01,0.52,0,3.63,99.00,100.00
PPP58.ppp,4,38,0.54,0.16,0.56,0.98,28,1.66,61.00,61.70
PPP59.ppp,2,38,0.51,0.25,0.86,0.62,0,3.31,93.50,96.10
PPP51.ppp,3,38,0.05,0.41,0.75,1.04,0,1.68,0.00,0.00
PPP52.ppp,1,38,0.26,0.22,0.81,0.90,0,2.41,96.00,98.70
