PPP,Turns,Adv,GoalVis%,StartVis%,VisMag,Obstacle Use,Unreachable Cells,VisWeighted,Bumper,Decision Bumper
PPP0.ppp,1,38,0.70,0.54,1.08,0.92,36,3.59,97.80,100.00
PPP1.ppp,5,48,0.13,0.16,0.62,1.00,0,1.54,55.80,56.70
PPP2.ppp,3,38,0.52,0.15,0.84,0.94,0,2.45,77.70,88.00
PPP3.ppp,4,38,0.24,0.20,0.58,0.94,4,1.70,0.00,0.00
PPP4.ppp,2,38,0.08,0.63,1.03,0.78,0,2.83,94.50,100.00
PPP5.ppp,2,38,0.07,0.25,0.62,0.86,0,1.50,40.60,45.10
PPP6.ppp,2,38,0.58,0.60,1.26,0.46,0,5.02,89.20,96.90
PPP7.ppp,2,38,0.57,0.29,0.95,0.64,0,3.54,95.60,100.00
PPP8.ppp,3,38,0.17,0.43,0.61,1.00,112,1.47,86.00,90.50
PPP9.ppp,4,38,0.18,0.33,0.56,1.00,0,1.51,0.00,0.00
PPP10.ppp,4,44,0.08,0.40,0.74,1.00,0,1.86,55.40,50.40
PPP11.ppp,3,38,0.77,0.67,1.50,0.50,0,5.81,62.50,63.00
PPP12.ppp,8,54,0.30,0.16,0.48,1.10,0,1.24,31.50,26.90
PPP13.ppp,1,38,0.48,0.22,1.04,0.76,0,3.51,96.90,99.60
PPP14.ppp,1,38,0.27,0.31,0.51,1.00,0,1.55,98.60,99.80
PPP15.ppp,4,38,0.72,0.64,1.69,0.46,0,6.24,35.60,38.50
PPP16.ppp,1,38,0.23,0.24,0.89,0.78,0,2.74,99.70,100.00
PPP17.ppp,5,46,0.13,0.15,0.63,1.04,0,1.46,53.30,66.20
PPP18.ppp,5,48,0.13,0.16,0.72,1.00,0,1.75,61.00,55.10
PPP19.ppp,4,38,0.39,0.34,0.80,0.92,0,2.55,49.20,50.90
PPP20.ppp,2,38,0.08,0.58,1.08,0.60,0,3.25,49.20,49.50
PPP21.ppp,1,38,0.36,0.31,0.70,1.00,0,2.02,98.60,100.00
PPP22.ppp,4,38,0.55,0.05,0.66,1.00,20,1.85,65.30,68.70
PPP23.ppp,6,46,0.04,0.16,0.62,1.00,0,1.33,29.40,25.70
PPP24.ppp,3,38,0.22,0.24,0.40,1.22,0,0.69,89.80,97.50
PPP25.ppp,2,38,0.81,0.36,1.22,0.48,0,4.99,98.70,100.00
PPP26.ppp,2,38,0.52,0.32,0.81,0.68,0,3.06,99.90,100.00
PPP27.ppp,4,38,0.26,0.32,0.60,0.96,124,1.80,0.00,0.00
PPP28.ppp,2,38,0.80,0.65,1.40,0.54,0,5.27,98.00,99.70
PPP29.ppp,2,38,0.15,0.34,0.66,0.98,0,1.81,57.70,56.90
PPP30.ppp,2,38,0.75,0.62,1.72,0.48,0,6.28,0.00,0.00
PPP31.ppp,1,38,0.39,0.32,0.69,1.00,0,2.05,99.00,100.00
PPP32.ppp,3,38,0.42,0.11,0.68,1.00,0,1.91,73.30,78.40
PPP33.ppp,4,38,0.34,0.28,0.52,1.04,0,1.56,38.00,29.40
PPP34.ppp,2,38,0.77,0.69,1.63,0.42,0,6.15,51.10,45.60
PPP35.ppp,5,50,0.13,0.15,0.61,1.00,0,1.53,57.30,59.40
PPP36.ppp,5,40,0.33,0.24,0.61,0.92,0,1.91,52.80,46.90
PPP37.ppp,3,38,0.17,0.30,0.74,1.00,0,1.79,38.20,39.00
PPP38.ppp,6,48,0.04,0.10,0.57,1.06,30,0.92,33.30,36.30
PPP39.ppp,4,38,0.26,0.32,0.56,0.98,124,1.70,0.00,0.00
PPP40.ppp,3,38,0.74,0.65,1.29,0.74,0,4.50,78.90,91.40
PPP41.ppp,5,48,0.13,0.16,0.62,1.00,0,1.54,59.40,56.60
PPP42.ppp,6,40,0.19,0.13,0.85,0.98,0,2.08,93.00,99.70
PPP43.ppp,3,38,0.72,0.68,1.46,0.48,0,5.67,47.40,43.00
PPP44.ppp,2,38,0.09,0.60,1.23,0.60,0,3.71,69.70,66.00
PPP45.ppp,2,38,0.17,0.25,0.70,0.94,22,1.82,97.00,99.90
PPP46.ppp,1,38,0.27,0.32,0.59,1.02,0,1.60,99.20,100.00
PPP47.ppp,2,38,0.27,0.02,0.48,1.00,0,1.23,99.80,100.00
PPP48.ppp,2,38,0.21,0.33,0.50,0.84,0,1.77,0.00,0.00
PPP49.ppp,1,38,0.18,0.60,0.93,0.76,0,2.93,97.80,100.00
PPP50.ppp,2,38,0.14,0.05,0.88,1.00,0,1.64,0.00,0.00
PPP51.ppp,2,38,0.75,0.58,1.41,0.40,0,5.62,95.00,98.60
PPP52.ppp,6,50,0.52,0.02,0.78,1.00,0,2.09,71.50,80.00
PPP53.ppp,5,38,0.33,0.06,0.48,1.00,0,1.36,46.60,45.10
PPP54.ppp,4,38,0.35,0.29,0.64,0.96,0,2.00,50.60,55.50
PPP55.ppp,5,48,0.15,0.16,0.62,1.00,0,1.43,56.20,52.70
PPP56.ppp,3,38,0.19,0.44,0.63,1.12,186,1.31,90.90,96.30
PPP57.ppp,2,38,0.07,0.52,0.86,0.68,0,2.50,68.10,84.50
PPP58.ppp,5,40,0.33,0.25,0.56,1.00,0,1.72,0.00,0.00
PPP59.ppp,2,38,0.69,0.22,1.08,0.54,0,4.38,79.80,77.00
