PPP,Turns,Adv,GoalVis%,StartVis%,VisMag,Obstacle Use,Unreachable Cells,OpenW,OpenH,AvgOpenW,AvgOpenH,VisWeighted,Omniscient A* Bot,WallFollower [l],WallFollower [r],Explorer,Random Bot,Explorer [Limited Memory: 5x5],Explorer [Noise: 0.10],Long Term Explorer,Bumper,Decision Bumper
PPP0.ppp,2,38,0.28,0.53,1.02,0.74,0,40,20,0.61,15.77,4.40,100.00,0.00,100.00,86.10,1.70,19.10,68.80,99.50,99.30,100.00
PPP1.ppp,3,38,0.33,0.69,1.17,0.56,0,40,20,0.82,11.73,5.87,100.00,100.00,0.00,87.00,3.10,7.60,71.20,97.90,62.70,58.20
PPP2.ppp,5,44,0.35,0.11,0.62,1.04,52,40,20,0.55,9.00,2.90,100.00,100.00,100.00,86.10,0.30,16.40,55.90,100.00,31.90,33.30
PPP3.ppp,6,40,0.14,0.37,0.62,1.00,2,40,15,0.58,9.68,2.69,100.00,100.00,100.00,56.90,0.70,22.50,49.10,100.00,9.10,6.20
PPP4.ppp,7,40,0.45,0.19,0.65,1.00,40,34,20,0.49,10.91,3.03,100.00,0.00,0.00,45.00,0.20,2.80,41.90,99.80,0.00,0.00
PPP5.ppp,2,38,0.12,0.44,0.75,0.94,0,40,20,0.66,11.86,3.24,100.00,0.00,100.00,62.70,0.90,16.40,47.40,99.80,16.10,14.70
PPP6.ppp,3,38,0.34,0.65,0.80,0.62,0,40,20,0.78,13.09,4.47,100.00,100.00,0.00,97.50,5.50,26.60,76.00,99.80,55.40,48.00
PPP7.ppp,2,38,0.23,0.06,0.69,1.00,0,40,20,0.71,12.14,3.11,100.00,100.00,100.00,76.50,1.30,17.20,50.20,98.90,99.90,100.00
PPP8.ppp,2,38,0.41,0.57,1.05,0.60,0,40,20,0.65,16.14,4.76,100.00,0.00,100.00,80.20,2.00,10.20,74.50,99.50,91.10,98.60
PPP9.ppp,4,38,0.07,0.32,0.64,0.82,0,40,20,0.61,13.09,3.00,100.00,100.00,0.00,53.60,0.10,2.50,43.40,99.70,37.20,32.70
PPP10.ppp,3,38,0.34,0.07,1.01,0.82,0,40,20,0.80,11.59,4.49,100.00,100.00,0.00,88.00,4.00,10.30,69.40,98.50,47.50,43.00
PPP11.ppp,3,38,0.12,0.06,0.47,1.04,0,40,20,0.60,11.50,2.23,100.00,0.00,0.00,77.70,2.00,8.40,65.60,85.10,47.40,47.40
PPP12.ppp,5,42,0.32,0.41,0.77,0.98,8,40,20,0.50,10.18,3.37,100.00,100.00,100.00,63.10,0.20,13.60,60.80,96.80,0.00,0.00
PPP13.ppp,3,38,0.25,0.16,0.49,1.00,0,40,20,0.56,13.73,2.52,100.00,100.00,100.00,93.20,1.90,16.10,74.60,99.50,75.20,79.60
PPP14.ppp,3,38,0.16,0.32,0.75,0.78,0,40,20,0.61,12.59,3.51,100.00,0.00,0.00,77.60,2.70,11.40,63.20,76.10,43.00,37.30
PPP15.ppp,4,38,0.16,0.51,0.80,0.98,58,30,20,0.60,12.95,3.12,100.00,0.00,100.00,72.10,1.30,12.50,62.90,100.00,0.00,0.00
PPP16.ppp,5,38,0.45,0.17,0.69,1.00,0,28,20,0.49,12.77,3.06,100.00,100.00,100.00,77.40,0.30,12.20,69.30,78.00,61.50,76.40
PPP17.ppp,2,38,0.25,0.42,0.77,1.00,6,30,20,0.53,13.32,3.26,100.00,100.00,100.00,80.20,1.20,29.00,74.50,99.30,92.90,96.70
PPP18.ppp,3,38,0.27,0.19,0.49,1.00,0,40,20,0.54,11.00,2.65,100.00,100.00,100.00,83.10,0.40,17.00,77.90,100.00,51.10,38.70
PPP19.ppp,4,38,0.06,0.49,1.01,0.88,0,40,20,0.65,12.09,3.71,100.00,100.00,0.00,67.70,0.00,42.40,49.80,86.60,0.00,0.00
PPP20.ppp,5,44,0.36,0.11,0.78,1.00,20,40,20,0.53,9.41,3.27,100.00,100.00,0.00,89.40,0.40,13.10,64.20,99.90,84.00,91.50
PPP21.ppp,3,38,0.19,0.47,0.88,0.86,0,40,20,0.81,12.41,3.93,100.00,0.00,0.00,75.80,2.80,26.30,72.40,85.10,0.00,0.00
PPP22.ppp,3,38,0.24,0.36,0.45,1.04,70,28,15,0.52,10.36,2.28,100.00,100.00,0.00,90.60,1.40,19.60,75.20,100.00,69.50,64.70
PPP23.ppp,5,44,0.34,0.17,0.63,1.00,68,32,20,0.51,10.73,2.88,100.00,100.00,100.00,79.40,0.10,17.10,59.50,100.00,0.00,0.00
PPP24.ppp,5,44,0.35,0.11,0.62,1.02,52,40,20,0.56,9.09,2.97,100.00,100.00,100.00,86.40,0.20,19.10,58.80,100.00,33.30,31.70
PPP25.ppp,3,38,0.32,0.30,0.72,0.86,0,40,20,0.61,11.50,3.71,100.00,100.00,100.00,99.60,1.70,19.80,75.20,100.00,34.20,36.80
PPP26.ppp,5,52,0.34,0.21,0.67,1.06,32,32,20,0.49,11.50,2.94,100.00,100.00,100.00,66.00,0.20,14.50,49.00,100.00,0.00,0.00
PPP27.ppp,3,38,0.33,0.78,1.18,0.52,0,40,20,0.69,12.95,5.72,100.00,73.00,0.00,25.50,2.70,13.80,37.00,64.70,0.00,0.00
PPP28.ppp,3,38,0.40,0.12,0.57,1.04,0,36,20,0.66,10.32,3.05,100.00,100.00,0.00,93.40,2.30,32.90,70.60,99.50,0.00,0.00
PPP29.ppp,3,38,0.57,0.45,0.97,0.82,12,40,20,0.60,11.73,4.70,100.00,0.00,0.00,58.40,0.80,5.50,44.60,86.10,0.00,0.00
PPP30.ppp,3,38,0.18,0.12,0.62,0.94,0,40,20,0.59,11.00,2.87,100.00,100.00,0.00,86.60,2.70,4.20,69.40,97.20,64.30,63.80
PPP31.ppp,2,38,0.18,0.65,0.95,0.76,0,40,20,0.80,11.59,4.43,100.00,0.00,100.00,77.20,2.60,13.70,68.90,98.20,93.10,95.80
PPP32.ppp,3,38,0.14,0.43,0.76,1.00,0,30,20,0.51,13.32,2.99,100.00,100.00,100.00,71.30,0.70,3.40,64.10,84.50,0.00,0.00
PPP33.ppp,3,38,0.29,0.16,0.93,0.66,0,40,20,0.78,13.55,4.58,100.00,100.00,0.00,92.70,5.40,19.30,75.70,95.50,51.50,48.40
PPP34.ppp,3,38,0.24,0.40,0.64,1.02,70,36,15,0.61,10.36,2.99,100.00,100.00,0.00,88.60,2.80,14.50,72.30,100.00,25.90,18.30
PPP35.ppp,2,38,0.56,0.18,0.59,1.00,0,32,20,0.60,14.00,2.90,100.00,100.00,0.00,78.50,2.20,34.70,71.10,98.70,0.00,0.00
PPP36.ppp,3,38,0.26,0.57,0.82,1.00,2,40,20,0.63,10.18,3.50,100.00,100.00,0.00,81.10,1.50,24.50,59.70,98.60,96.20,95.70
PPP37.ppp,5,38,0.18,0.32,0.61,0.88,0,40,16,0.59,9.91,3.19,100.00,0.00,0.00,78.00,1.70,3.60,66.50,80.20,0.00,0.00
PPP38.ppp,3,38,0.12,0.33,0.54,0.98,0,40,20,0.59,11.36,2.63,100.00,0.00,0.00,63.80,1.30,9.70,63.00,82.20,0.00,0.00
PPP39.ppp,3,38,0.05,0.41,0.73,1.00,0,40,20,0.60,11.95,2.98,100.00,0.00,0.00,76.20,1.90,23.50,43.80,99.50,18.60,15.90
PPP40.ppp,6,38,0.04,0.23,0.90,0.98,6,40,20,0.64,11.41,3.26,100.00,48.70,100.00,54.30,0.00,9.00,32.20,90.10,0.00,0.00
PPP41.ppp,2,38,0.81,0.05,1.57,0.62,0,40,20,0.89,14.91,6.95,100.00,100.00,0.00,85.60,8.90,65.80,71.80,100.00,79.10,76.20
PPP42.ppp,7,40,0.21,0.37,0.66,0.98,36,34,14,0.53,8.36,2.90,100.00,100.00,100.00,82.00,0.20,2.70,45.50,77.30,20.60,17.90
PPP43.ppp,5,48,0.26,0.17,0.55,1.00,0,40,20,0.64,10.27,2.97,100.00,100.00,100.00,54.30,0.30,3.60,43.70,99.80,29.20,31.40
PPP44.ppp,2,38,0.42,0.60,1.16,0.70,0,40,20,0.71,15.41,5.42,100.00,86.40,100.00,85.60,3.30,27.10,67.50,100.00,94.40,98.30
PPP45.ppp,8,38,0.08,0.23,0.71,1.00,0,32,20,0.53,11.45,2.69,100.00,0.00,0.00,42.00,0.00,1.70,34.50,29.10,0.00,0.00
PPP46.ppp,4,44,0.08,0.38,0.60,0.90,0,30,15,0.52,9.00,2.62,100.00,100.00,100.00,76.90,0.20,1.10,48.70,66.80,76.20,82.40
PPP47.ppp,3,38,0.36,0.41,0.76,0.92,0,40,20,0.81,11.59,4.09,100.00,100.00,100.00,92.60,2.30,30.30,81.90,100.00,0.00,0.00
PPP48.ppp,2,38,0.28,0.40,0.80,0.90,0,40,20,0.50,10.73,3.54,100.00,100.00,100.00,86.40,0.50,25.00,58.20,98.90,98.90,100.00
PPP49.ppp,2,38,0.80,0.23,1.29,0.44,0,40,20,0.77,14.32,6.57,100.00,100.00,0.00,77.60,6.50,7.80,79.60,97.70,99.10,99.40
PPP50.ppp,5,44,0.35,0.11,0.62,1.02,52,40,20,0.58,8.73,3.01,100.00,100.00,100.00,79.90,0.10,21.00,56.00,100.00,0.00,0.00
PPP53.ppp,3,38,0.11,0.64,0.92,0.82,0,40,20,0.75,12.09,3.96,100.00,0.00,0.00,78.10,2.90,11.80,73.40,94.20,12.20,9.80
PPP54.ppp,2,38,0.57,0.35,1.17,0.70,0,40,20,0.67,13.64,5.46,100.00,100.00,0.00,82.60,1.60,30.40,69.30,100.00,56.80,55.30
PPP55.ppp,2,38,0.19,0.48,1.19,0.82,0,40,20,0.70,12.73,4.79,100.00,100.00,100.00,72.80,1.00,22.20,54.60,99.80,45.90,39.90
PPP56.ppp,3,38,0.24,0.17,0.55,0.96,0,40,20,0.59,10.82,2.76,100.00,100.00,100.00,86.60,1.00,11.60,66.40,99.80,45.30,37.00
PPP57.ppp,2,38,0.12,0.08,0.94,0.78,0,40,20,0.76,11.86,3.99,100.00,0.00,100.00,70.20,0.00,12.50,54.20,99.00,99.80,100.00
PPP58.ppp,3,38,0.12,0.35,0.70,0.84,0,40,20,0.69,11.45,3.40,100.00,0.00,0.00,73.60,2.60,6.70,69.40,81.50,44.80,36.40
PPP59.ppp,3,38,0.40,0.40,0.61,1.04,44,30,20,0.51,9.73,2.81,100.00,100.00,100.00,81.60,1.10,8.20,79.10,79.70,84.10,87.40
PPP51.ppp,3,38,0.19,0.17,0.52,1.14,0,40,20,0.68,9.64,2.49,100.00,100.00,0.00,78.10,1.20,27.80,60.30,79.70,40.90,37.50
PPP52.ppp,3,38,0.36,0.51,0.85,0.80,0,40,20,0.80,12.77,4.31,100.00,100.00,100.00,87.70,1.40,26.60,82.80,99.90,0.00,0.00
