PPP,Turns,Adv,GoalVis%,StartVis%,VisMag,Obstacle Use,Unreachable Cells,VisWeighted,Bumper,Decision Bumper
PPP0.ppp,5,44,0.23,0.17,0.47,1.20,52,1.03,59.40,57.10
PPP1.ppp,3,38,0.14,0.40,1.05,0.60,0,3.23,0.00,0.00
PPP2.ppp,5,38,0.22,0.47,0.60,1.00,0,1.69,25.40,22.60
PPP3.ppp,2,38,0.35,0.47,1.34,0.40,0,4.85,77.50,91.20
PPP4.ppp,2,38,0.48,0.46,0.95,0.60,0,3.53,89.00,96.90
PPP5.ppp,2,38,0.12,0.11,0.52,1.02,134,0.98,90.00,91.70
PPP6.ppp,1,38,0.50,0.45,1.04,0.54,0,3.96,99.80,100.00
PPP7.ppp,2,38,0.32,0.43,1.06,0.64,0,3.64,79.40,91.70
PPP8.ppp,3,38,0.13,0.42,0.66,1.10,52,1.46,0.00,0.00
PPP9.ppp,3,38,0.12,0.20,0.53,0.86,0,1.59,0.00,0.00
PPP10.ppp,2,38,0.49,0.30,0.97,1.00,0,2.96,77.50,91.20
PPP11.ppp,2,38,0.12,0.23,0.54,0.92,138,1.35,58.10,47.40
PPP12.ppp,2,38,0.12,0.39,0.47,0.86,0,1.50,38.90,28.40
PPP13.ppp,2,38,0.28,0.53,0.80,0.76,0,2.89,0.00,0.00
PPP14.ppp,2,38,0.45,0.40,0.86,0.66,0,3.17,88.60,95.80
PPP15.ppp,2,38,0.20,0.37,0.55,0.98,0,1.52,0.00,0.00
PPP16.ppp,3,38,0.25,0.15,0.46,1.00,84,1.28,0.00,0.00
PPP17.ppp,1,38,0.10,0.27,0.62,1.06,0,1.28,94.00,99.20
PPP18.ppp,2,38,0.08,0.54,1.07,0.74,0,2.93,92.60,94.80
PPP19.ppp,3,38,0.31,0.15,0.46,0.94,84,1.51,50.20,41.70
PPP20.ppp,5,38,0.35,0.35,0.76,1.00,0,2.38,0.00,0.00
PPP21.ppp,4,54,0.06,0.12,0.77,1.02,0,1.58,85.40,86.00
PPP22.ppp,4,38,0.05,0.19,0.73,0.94,0,1.59,8.30,7.00
PPP23.ppp,5,40,0.02,0.22,0.67,0.82,0,1.65,27.80,25.70
PPP24.ppp,2,38,0.55,0.41,1.07,0.48,0,4.17,95.10,96.80
PPP25.ppp,2,38,0.12,0.11,0.51,1.04,134,0.93,88.40,92.30
PPP26.ppp,3,38,0.24,0.38,0.49,1.06,0,1.31,61.40,61.10
PPP27.ppp,2,38,0.12,0.23,0.53,0.94,138,1.30,58.00,48.70
PPP28.ppp,4,38,0.08,0.12,0.56,1.00,0,1.18,26.00,24.80
PPP29.ppp,2,38,0.27,0.39,0.89,0.60,0,3.34,64.30,62.90
PPP30.ppp,2,38,0.10,0.11,0.48,1.00,0,0.93,43.50,39.00
PPP31.ppp,2,38,0.10,0.48,0.99,0.58,0,3.24,75.10,91.90
PPP32.ppp,4,38,0.08,0.12,0.56,1.00,0,1.18,27.00,25.40
PPP33.ppp,2,38,0.12,0.23,0.54,0.94,136,1.27,58.70,49.60
PPP34.ppp,2,38,0.06,0.59,1.05,0.66,0,3.16,75.30,91.10
PPP35.ppp,2,38,0.12,0.23,0.54,0.92,138,1.29,57.40,48.50
PPP36.ppp,2,38,0.08,0.13,0.69,1.02,0,1.45,99.00,100.00
PPP37.ppp,1,38,0.10,0.27,0.65,1.06,0,1.34,93.40,100.00
PPP38.ppp,3,38,0.35,0.32,0.52,1.00,22,1.56,40.80,25.30
PPP39.ppp,4,38,0.46,0.21,0.66,1.00,0,2.04,50.20,52.60
PPP40.ppp,2,38,0.61,0.49,1.12,0.80,0,3.96,78.70,91.50
PPP41.ppp,5,40,0.02,0.21,0.64,0.96,6,1.30,0.00,0.00
PPP42.ppp,4,38,0.46,0.46,1.02,0.76,0,3.60,32.60,37.20
PPP43.ppp,2,38,0.55,0.52,1.20,0.54,0,4.64,33.70,35.30
PPP44.ppp,2,38,0.41,0.51,1.14,0.52,0,4.34,23.60,24.40
PPP45.ppp,3,38,0.12,0.13,0.81,0.84,0,1.92,51.20,54.70
PPP46.ppp,2,38,0.08,0.68,1.23,0.72,6,3.52,9.90,7.90
PPP47.ppp,2,38,0.12,0.41,1.05,0.60,0,3.36,50.00,45.30
PPP48.ppp,2,38,0.12,0.23,0.55,0.94,138,1.36,58.10,50.10
PPP49.ppp,4,38,0.05,0.23,0.70,0.94,0,1.58,29.90,32.10
PPP50.ppp,1,38,0.57,0.42,1.09,0.44,0,4.34,98.60,100.00
PPP51.ppp,1,38,0.10,0.27,0.66,1.06,0,1.53,94.20,100.00
PPP52.ppp,10,52,0.08,0.12,0.86,1.00,402,1.80,81.40,86.80
PPP53.ppp,4,40,0.12,0.22,0.54,1.06,142,1.10,0.00,0.00
PPP54.ppp,1,38,0.25,0.52,0.92,0.76,0,2.90,95.30,100.00
PPP55.ppp,2,38,0.12,0.23,0.54,1.00,128,1.18,59.70,48.70
PPP56.ppp,2,38,0.25,0.52,1.06,0.60,0,3.63,94.70,95.00
PPP57.ppp,1,38,0.71,0.27,1.32,0.66,0,4.71,99.30,100.00
PPP58.ppp,2,38,0.54,0.48,1.10,0.42,0,4.39,98.90,100.00
PPP59.ppp,3,38,0.35,0.32,0.52,0.96,20,1.68,37.10,25.70
