PPP,Turns,Adv,GoalVis%,VisMag,VisWeighted,Omniscient A* Bot,WallFollower [l],WallFollower [r],Explorer,Random Bot,Explorer [Limited Memory: 5x5],Explorer [Noise: 0.10],Long Term Explorer
PPP0.ppp,1,38,0.46,1.01,-1.45,100.00,100.00,100.00,95.50,2.60,43.70,85.30,100.00
PPP1.ppp,4,38,0.18,0.61,-1.77,100.00,100.00,100.00,62.30,0.80,7.00,56.10,100.00
PPP2.ppp,5,50,0.11,0.63,-2.44,100.00,100.00,0.00,52.90,0.10,5.90,42.20,92.80
PPP3.ppp,2,38,0.40,0.67,-0.06,100.00,100.00,100.00,96.20,2.30,21.50,76.00,87.30
PPP4.ppp,6,72,0.11,0.59,-4.58,100.00,47.00,0.00,39.30,0.00,4.30,25.90,38.70
PPP5.ppp,2,38,0.28,0.94,-0.69,100.00,100.00,100.00,90.50,2.40,24.00,83.50,99.30
PPP6.ppp,3,38,0.59,1.17,0.80,100.00,0.00,100.00,87.00,3.10,27.50,77.20,97.70
PPP7.ppp,2,38,0.63,1.21,1.66,100.00,100.00,100.00,93.70,4.90,12.80,74.00,100.00
PPP8.ppp,3,38,0.25,0.71,-0.27,100.00,0.00,100.00,91.50,1.30,5.90,71.10,92.10
PPP9.ppp,4,38,0.22,0.60,-1.59,100.00,76.00,100.00,85.30,0.00,25.40,60.90,100.00
PPP10.ppp,4,38,0.38,0.59,-2.09,100.00,44.70,0.00,66.20,0.20,14.40,53.30,88.70
PPP11.ppp,2,38,0.31,0.57,0.09,100.00,0.00,100.00,20.90,0.30,6.30,29.40,56.40
PPP12.ppp,2,38,0.68,1.13,1.34,100.00,100.00,100.00,85.90,3.50,6.90,77.30,93.50
PPP13.ppp,4,38,0.11,0.68,-1.60,100.00,52.30,0.00,66.70,0.00,19.30,24.70,98.40
PPP14.ppp,5,40,0.30,0.72,-4.46,100.00,100.00,100.00,76.10,0.70,27.60,74.30,100.00
PPP15.ppp,4,38,0.33,0.56,-1.89,100.00,100.00,100.00,89.20,0.20,12.10,73.60,87.70
PPP16.ppp,2,38,0.58,1.27,1.79,100.00,100.00,100.00,97.20,1.80,14.50,74.80,100.00
PPP17.ppp,2,38,0.68,1.14,1.17,100.00,100.00,100.00,65.20,2.90,7.30,73.40,96.50
PPP18.ppp,2,38,0.59,1.07,1.30,100.00,100.00,100.00,88.00,3.10,16.70,73.10,99.60
PPP19.ppp,2,38,0.54,1.37,1.93,100.00,100.00,100.00,88.70,4.30,23.50,75.60,99.40
PPP20.ppp,1,38,0.58,1.13,2.59,100.00,100.00,100.00,95.50,3.20,34.80,82.60,100.00
PPP21.ppp,1,38,0.70,1.34,2.88,100.00,100.00,100.00,80.90,4.00,27.50,74.50,99.90
PPP22.ppp,1,38,0.66,1.09,2.42,100.00,100.00,100.00,86.80,2.70,30.60,77.30,97.10
PPP23.ppp,1,38,0.53,1.18,2.61,100.00,100.00,100.00,98.90,3.80,21.90,87.40,100.00
PPP24.ppp,2,38,0.40,0.52,-1.05,100.00,100.00,0.00,92.50,2.30,11.00,70.00,97.50
PPP25.ppp,5,38,0.19,0.65,-2.49,100.00,100.00,100.00,87.60,1.50,2.80,80.00,83.70
PPP26.ppp,1,38,0.32,1.04,2.17,100.00,100.00,100.00,96.10,2.70,24.40,80.40,100.00
PPP27.ppp,4,38,0.49,0.56,-1.99,100.00,91.10,0.00,95.50,0.70,44.10,68.10,100.00
PPP28.ppp,1,38,0.55,1.33,2.95,100.00,100.00,100.00,96.40,4.70,31.60,84.10,100.00
PPP29.ppp,1,38,0.30,1.11,2.67,100.00,100.00,100.00,97.10,2.50,19.70,84.10,100.00
PPP30.ppp,1,38,0.38,0.74,1.78,100.00,100.00,0.00,91.80,2.10,6.60,75.00,99.20
PPP31.ppp,4,38,0.11,0.67,-1.62,100.00,47.60,0.00,64.70,0.00,19.50,33.80,99.90
PPP32.ppp,1,38,0.72,1.35,3.11,100.00,100.00,100.00,92.90,3.40,23.30,73.50,99.70
PPP33.ppp,1,38,0.71,1.50,3.29,100.00,100.00,100.00,98.50,6.00,18.20,81.70,100.00
PPP34.ppp,3,38,0.13,0.41,-4.30,100.00,100.00,100.00,92.60,2.60,21.80,81.30,99.80
PPP35.ppp,1,38,0.71,1.35,1.11,100.00,100.00,100.00,98.80,4.10,19.30,81.20,100.00
PPP36.ppp,2,38,0.44,0.57,-0.68,100.00,100.00,100.00,95.10,1.70,10.00,72.00,100.00
PPP37.ppp,2,38,0.24,0.83,-0.02,100.00,0.00,0.00,81.30,1.40,30.00,62.30,100.00
PPP38.ppp,7,50,0.45,0.62,-4.74,100.00,100.00,100.00,62.20,0.00,24.50,58.30,94.10
