PPP,Turns,Adv,GoalVis%,VisMag,VisWeighted,Omniscient A* Bot,WallFollower [l],WallFollower [r],Explorer,Random Bot,Explorer [Limited Memory: 5x5],Explorer [Noise: 0.10],Long Term Explorer
PPP0.ppp,2,38,0.68,1.21,1.56,100,100,100,89.3,3.5,14.8,77.1,100
PPP1.ppp,5,38,0.48,0.89,-2.13,100,100,100,80.7,1.3,44.6,66.9,100
PPP2.ppp,3,38,0.11,1.16,0.45,100,100,100,85.6,1.6,14.7,71.8,97.8
PPP3.ppp,3,38,0.38,1.05,0.32,100,100,100,88.8,5.4,44.6,88.2,100
PPP4.ppp,5,38,0.65,1.46,-0.76,100,100,100,73,3.3,49,75.1,99
PPP5.ppp,5,38,0.39,1.33,-0.95,100,100,100,70.1,2.2,45.1,70.8,94.5
PPP6.ppp,5,38,0.37,0.9,-2,100,100,0,46.6,3.1,5.9,57.6,90.3
PPP7.ppp,4,38,0.08,0.82,-1.31,100,75.1,100,40.5,0,17.5,18.7,98
PPP8.ppp,2,38,0.59,1.35,1.03,100,100,100,87.9,4,20.7,75.1,100
PPP9.ppp,7,46,0.43,0.79,-5.2,100,100,100,94.3,0.7,31.5,59.4,98.8
PPP10.ppp,7,42,0.11,0.92,-5.21,100,100,0,70.8,0.2,7.9,37.2,100
PPP11.ppp,3,38,0.56,1,-0.87,100,100,100,87,0.9,52.1,72.1,100
PPP12.ppp,5,38,0.36,0.74,-3.52,100,100,100,53.8,1,1.5,64.6,74
PPP13.ppp,2,38,0.53,1.04,1.2,100,100,100,93.9,3.8,40.5,83.9,100
PPP14.ppp,2,38,0.33,1.56,2.51,100,100,100,60.1,2.4,27.5,73.3,100
PPP15.ppp,1,38,0.76,1.44,3.06,100,100,99.8,93.9,3.9,50.8,78.7,100
PPP16.ppp,5,38,0.41,1.31,-1.18,100,100,100,67.6,1.8,7.9,69.6,96.4
PPP17.ppp,3,38,0.46,0.95,0.24,100,100,100,87.3,2.7,8.8,72.8,86.3
PPP18.ppp,5,48,0.21,0.63,-2.72,100,100,100,78.8,0.1,10.9,67.3,99.5
PPP19.ppp,5,40,0.51,0.75,-2.72,100,100,100,88.3,1.6,18.3,79.9,100
PPP20.ppp,5,38,0.34,0.8,-2.64,100,100,0,98.2,3.7,16.4,78.6,100
PPP21.ppp,5,38,0.25,0.82,-2.29,100,100,100,68.3,1.4,6,53.5,99.9
PPP22.ppp,7,38,0.17,0.82,-4.62,100,100,0,70.1,1.6,6.7,57.4,96
PPP23.ppp,4,38,0.1,0.61,-1.88,100,48.2,100,59.4,0,4.3,18.9,58
PPP24.ppp,5,38,0.33,1.25,-1.13,100,99.9,0,74.3,1,12,68,96.8
PPP25.ppp,7,46,0.44,0.82,-4.16,100,0,0,100,0.5,8.8,63.3,100
PPP26.ppp,5,48,0.51,0.77,-3.66,100,100,100,99.6,0.7,65.5,77.2,100
PPP27.ppp,6,48,0.47,0.61,-3.97,100,100,100,99.9,1.1,56.9,69.4,100
PPP28.ppp,5,38,0.32,0.97,-5.3,100,0,0,71.6,0.2,7.8,64.9,82.1
PPP29.ppp,2,38,0.33,1.37,1.84,100,100,100,92,2.8,24.2,82.6,100
PPP30.ppp,5,38,0.37,0.9,-2.28,100,100,0,50.5,2.8,5.7,55.2,90.8
PPP31.ppp,4,48,0.36,0.88,-2.08,100,100,50.8,86.2,0,8,68,99.8
PPP32.ppp,3,38,0.18,1.23,0.55,100,100,100,76.6,1.8,18.8,75.7,99.8
PPP33.ppp,5,38,0.53,0.68,-3.77,100,0,0,87.5,0.8,9.4,65.1,93.4
PPP34.ppp,5,38,0.61,1.03,-2.07,100,100,100,64.1,1.9,5.5,71,85
