PPP,Turns,Adv,GoalVis%,VisMag,VisWeighted,Omniscient A* Bot,WallFollower [l],WallFollower [r],Explorer,Random Bot,Explorer [Limited Memory: 5x5],Explorer [Noise: 0.10],Long Term Explorer
PPP0.ppp,5,38,0.44,0.92,-2.20,100.00,100.00,0.00,73.60,1.10,3.90,64.70,94.00
PPP1.ppp,5,38,0.50,0.96,-1.76,100.00,100.00,0.00,85.70,1.80,21.00,73.20,60.50
PPP2.ppp,6,44,0.16,0.64,-3.83,100.00,100.00,100.00,63.50,0.00,3.70,40.40,79.30
PPP3.ppp,5,44,0.07,0.90,-2.17,100.00,100.00,0.00,51.50,0.10,23.40,42.90,94.30
PPP4.ppp,4,38,0.24,0.52,-2.02,100.00,74.50,0.00,19.70,0.40,5.30,29.30,16.00
PPP5.ppp,4,38,0.63,0.90,-1.25,100.00,100.00,0.00,82.50,1.90,48.30,77.90,60.00
PPP6.ppp,7,50,0.06,0.78,-4.57,100.00,100.00,0.00,45.40,0.00,25.50,40.00,93.90
PPP7.ppp,1,38,0.59,1.52,3.82,100.00,100.00,0.00,87.70,4.40,28.20,80.70,99.90
PPP8.ppp,1,38,0.51,0.95,2.19,100.00,100.00,0.00,82.90,1.90,24.10,75.10,100.00
PPP9.ppp,3,38,0.66,1.19,0.82,100.00,100.00,100.00,83.10,3.10,26.80,73.80,83.30
PPP10.ppp,5,48,0.07,0.88,-2.22,100.00,100.00,0.00,45.90,0.20,23.90,43.20,95.10
PPP11.ppp,4,38,0.17,0.50,-2.14,100.00,93.80,100.00,62.80,0.90,13.10,40.50,48.10
PPP12.ppp,5,38,0.29,0.77,-2.30,100.00,100.00,0.00,44.30,0.90,19.20,39.20,92.70
PPP13.ppp,5,38,0.22,0.58,-2.83,100.00,100.00,0.00,67.10,1.00,12.10,44.70,97.60
PPP14.ppp,5,46,0.05,0.77,-2.49,100.00,0.00,0.00,58.40,0.20,28.40,39.40,84.20
PPP15.ppp,5,38,0.40,0.94,-1.78,100.00,0.00,100.00,60.20,0.50,8.70,44.20,98.20
PPP16.ppp,2,38,0.67,1.07,1.44,100.00,100.00,100.00,90.90,1.90,12.10,75.40,96.70
PPP17.ppp,3,38,0.27,1.03,0.63,100.00,100.00,100.00,71.50,1.30,20.20,63.20,98.90
PPP18.ppp,5,38,0.23,0.73,-2.46,100.00,100.00,0.00,69.70,1.00,1.30,52.60,95.90
PPP19.ppp,5,38,0.27,0.77,-2.34,100.00,100.00,0.00,38.60,1.60,9.00,43.50,98.90
PPP20.ppp,4,44,0.15,0.59,-1.93,100.00,100.00,100.00,82.90,0.00,24.80,45.30,24.30
PPP21.ppp,3,38,0.39,0.85,0.06,100.00,100.00,100.00,90.30,1.40,41.30,72.00,99.00
PPP22.ppp,3,38,0.54,1.13,0.97,100.00,100.00,100.00,67.50,2.50,16.20,71.40,99.40
PPP23.ppp,3,38,0.40,0.57,-0.87,100.00,100.00,100.00,76.60,1.80,7.60,68.20,97.80
PPP24.ppp,6,40,0.27,1.05,-2.46,100.00,100.00,0.00,32.10,0.80,14.00,45.90,95.70
PPP25.ppp,3,38,0.66,0.89,-0.14,100.00,100.00,0.00,81.60,3.90,68.00,77.00,81.20
PPP26.ppp,6,38,0.09,0.66,-3.95,100.00,0.00,0.00,37.10,0.40,3.70,30.30,41.60
PPP27.ppp,6,38,0.50,0.83,-3.06,100.00,100.00,100.00,80.00,0.60,19.90,68.60,100.00
PPP28.ppp,5,50,0.06,0.84,-2.36,100.00,100.00,0.00,47.70,0.00,14.00,46.50,82.00
PPP29.ppp,4,38,0.17,0.68,-1.71,100.00,100.00,100.00,53.20,1.00,18.60,47.00,94.80
PPP30.ppp,4,38,0.34,0.62,-1.69,100.00,100.00,100.00,64.60,0.80,36.30,49.40,99.20
PPP31.ppp,3,38,0.21,0.99,0.07,100.00,100.00,0.00,87.60,1.30,24.80,72.20,99.70
PPP32.ppp,1,38,0.50,0.87,2.13,100.00,100.00,100.00,99.90,2.50,48.80,92.20,100.00
PPP33.ppp,4,38,0.33,0.68,-1.52,100.00,100.00,0.00,95.90,2.30,30.10,87.00,100.00
PPP34.ppp,4,38,0.58,1.10,-0.43,100.00,100.00,100.00,86.10,1.60,12.80,74.30,92.60
