PPP,Turns,Adv,GoalVis%,VisMag,Omniscient A* Bot,WallFollower [l],WallFollower [r],Explorer,Random Bot,Explorer [Limited Memory: 5x5],Explorer [Noise: 0.10],Long Term Explorer
PPP0.ppp,6,40,0.50,0.84,100.00,100.00,0.00,58.00,0.40,13.90,49.70,99.70
PPP1.ppp,2,38,0.43,0.84,100.00,100.00,100.00,95.00,2.50,20.10,85.00,97.20
PPP2.ppp,3,38,0.74,1.39,100.00,100.00,100.00,96.40,2.80,33.50,79.00,100.00
PPP3.ppp,2,38,0.68,1.28,100.00,100.00,100.00,81.80,3.50,8.30,74.30,100.00
PPP4.ppp,2,38,0.51,0.92,100.00,100.00,100.00,96.50,2.60,27.60,72.40,99.50
PPP5.ppp,4,38,0.74,1.26,100.00,100.00,100.00,95.90,3.40,20.10,77.90,100.00
PPP6.ppp,1,38,0.06,1.02,100.00,100.00,0.00,79.00,0.60,10.60,54.40,88.50
PPP7.ppp,1,38,0.59,0.95,100.00,100.00,100.00,68.50,1.00,17.40,59.20,98.40
PPP8.ppp,2,38,0.51,0.93,100.00,85.80,100.00,99.90,2.00,28.90,79.60,100.00
PPP9.ppp,2,38,0.44,1.18,100.00,100.00,100.00,97.40,2.60,13.50,83.70,100.00
PPP10.ppp,4,38,0.42,0.68,100.00,100.00,100.00,74.70,0.40,22.50,47.40,83.20
PPP11.ppp,3,38,0.60,1.11,100.00,100.00,0.00,85.90,2.90,31.60,80.60,98.80
PPP12.ppp,5,38,0.19,0.74,100.00,100.00,0.00,77.40,0.10,24.40,64.60,98.40
PPP13.ppp,2,38,0.78,1.20,100.00,100.00,100.00,91.20,4.10,18.00,80.80,100.00
PPP14.ppp,3,38,0.10,0.86,100.00,0.00,0.00,39.90,0.80,3.90,56.30,83.70
PPP15.ppp,2,38,0.69,1.33,100.00,100.00,100.00,96.80,4.10,8.20,73.00,100.00
PPP16.ppp,3,38,0.51,0.88,100.00,100.00,96.20,82.00,2.40,19.00,72.10,96.30
PPP17.ppp,3,38,0.33,0.84,100.00,100.00,0.00,58.50,2.00,21.40,59.70,77.80
PPP18.ppp,1,38,0.48,0.74,100.00,100.00,100.00,68.90,1.30,20.40,58.00,98.40
PPP19.ppp,3,38,0.44,0.74,100.00,100.00,100.00,69.20,1.40,8.00,73.20,94.50
PPP20.ppp,1,38,0.24,0.99,100.00,100.00,100.00,68.70,0.80,15.40,51.80,99.70
PPP21.ppp,2,38,0.51,0.97,100.00,100.00,100.00,89.30,2.40,18.50,78.20,100.00
PPP22.ppp,2,38,0.74,1.38,100.00,100.00,100.00,95.60,4.20,14.80,77.00,100.00
PPP23.ppp,3,38,0.41,0.92,100.00,100.00,100.00,85.20,2.60,41.70,84.60,99.00
PPP24.ppp,4,38,0.49,0.82,100.00,100.00,0.00,93.90,1.40,30.50,76.60,92.00
PPP25.ppp,2,38,0.63,1.51,100.00,100.00,100.00,96.80,4.10,23.70,77.30,99.70
PPP26.ppp,2,38,0.72,1.46,100.00,100.00,100.00,91.90,3.40,22.70,76.80,100.00
PPP27.ppp,2,38,0.82,1.48,100.00,100.00,100.00,93.70,3.20,21.30,80.20,100.00
PPP28.ppp,2,38,0.42,1.08,100.00,0.00,99.60,49.50,0.90,15.50,46.20,69.30
PPP29.ppp,1,38,0.65,1.26,100.00,100.00,100.00,85.50,4.00,23.30,81.60,99.90
PPP30.ppp,3,38,0.41,0.88,100.00,0.00,100.00,77.00,1.30,3.90,70.70,94.00
PPP31.ppp,1,38,0.34,1.05,100.00,100.00,0.00,95.70,4.00,23.30,75.90,99.10
PPP32.ppp,3,38,0.39,0.70,100.00,100.00,100.00,85.80,1.60,58.20,77.30,96.50
PPP33.ppp,2,38,0.40,1.02,100.00,100.00,100.00,79.10,1.00,19.30,66.10,96.60
PPP34.ppp,2,38,0.57,1.12,100.00,100.00,0.00,93.70,1.50,10.30,69.30,99.80
PPP35.ppp,3,38,0.45,1.21,100.00,100.00,100.00,96.30,2.70,28.30,86.70,100.00
PPP36.ppp,2,38,0.27,0.78,100.00,100.00,100.00,97.90,3.40,16.20,74.70,100.00
PPP37.ppp,2,38,0.68,1.45,100.00,100.00,100.00,97.50,3.60,16.20,77.40,100.00
PPP38.ppp,3,38,0.70,1.51,100.00,100.00,100.00,94.70,3.10,23.70,77.90,100.00
PPP39.ppp,2,38,0.45,1.29,100.00,100.00,100.00,94.50,3.00,12.50,83.60,100.00
PPP41.ppp,3,38,0.73,1.50,100.00,100.00,100.00,88.50,3.50,19.40,77.40,99.80
PPP42.ppp,1,38,0.14,0.79,100.00,100.00,100.00,64.80,0.80,10.30,49.60,99.30
PPP43.ppp,4,38,0.41,0.93,100.00,0.00,0.00,80.20,0.00,6.50,68.60,87.10
PPP44.ppp,2,38,0.74,1.38,100.00,100.00,100.00,94.10,3.50,15.70,77.70,100.00
PPP45.ppp,3,38,0.60,1.12,100.00,100.00,100.00,91.00,2.80,39.40,82.80,98.50
PPP46.ppp,2,38,0.72,1.42,100.00,100.00,100.00,92.00,3.50,30.20,76.50,100.00
PPP47.ppp,2,38,0.62,0.94,100.00,100.00,100.00,90.00,2.10,10.80,75.90,100.00
PPP48.ppp,4,38,0.14,0.78,100.00,86.30,0.00,99.90,0.00,30.80,81.70,100.00
PPP49.ppp,2,38,0.74,1.43,100.00,100.00,100.00,96.40,3.40,16.20,78.70,100.00
PPP50.ppp,3,38,0.33,0.83,100.00,100.00,0.00,57.30,1.60,22.00,60.20,75.40
PPP51.ppp,1,38,0.58,0.93,100.00,100.00,99.70,67.70,0.90,14.00,58.60,98.80
PPP52.ppp,3,38,0.65,1.35,100.00,100.00,100.00,96.40,3.20,27.50,80.70,100.00
PPP53.ppp,1,38,0.54,0.83,100.00,100.00,100.00,83.90,2.80,30.50,75.80,93.00
PPP54.ppp,2,38,0.62,0.94,100.00,100.00,100.00,89.80,2.70,12.00,76.30,100.00
PPP55.ppp,2,38,0.58,0.93,100.00,98.50,100.00,96.20,2.10,15.40,81.30,100.00
PPP56.ppp,3,38,0.65,1.29,100.00,100.00,100.00,94.70,2.90,35.90,82.00,99.90
PPP57.ppp,2,38,0.82,1.46,100.00,100.00,100.00,94.90,3.20,12.10,79.80,100.00
PPP58.ppp,4,38,0.14,0.91,100.00,0.00,0.00,96.50,0.00,26.70,67.60,75.00
PPP59.ppp,3,38,0.33,0.83,100.00,100.00,0.00,61.60,1.20,22.60,57.90,76.10
