PPP,Turns,Adv,GoalVis%,VisMag,Omniscient A* Bot,WallFollower [l],WallFollower [r],Explorer,Random Bot,Explorer [Limited Memory: 5x5],Explorer [Noise: 0.10],Long Term Explorer
PPP0.ppp,4,38,0.81,1.32,100.00,100.00,100.00,96.90,3.30,28.30,79.50,97.10
PPP1.ppp,7,42,0.45,0.72,100.00,100.00,100.00,56.20,1.30,5.20,69.60,93.40
PPP2.ppp,4,38,0.78,1.13,100.00,100.00,0.00,91.20,2.90,9.00,75.20,91.70
PPP3.ppp,3,38,0.63,1.36,100.00,100.00,100.00,73.40,2.70,5.00,68.50,97.90
PPP4.ppp,2,38,0.38,1.08,100.00,100.00,100.00,77.50,2.00,11.50,67.50,95.40
PPP5.ppp,1,38,0.68,1.02,100.00,100.00,100.00,91.90,4.50,100.00,75.30,98.10
PPP6.ppp,1,38,0.64,1.27,100.00,100.00,100.00,89.70,2.10,35.70,76.20,96.60
PPP7.ppp,1,38,0.66,1.30,100.00,100.00,100.00,94.00,3.00,18.40,74.80,99.20
PPP8.ppp,3,38,0.75,1.50,100.00,100.00,98.40,90.20,3.60,26.10,79.00,100.00
PPP9.ppp,3,38,0.63,1.44,100.00,100.00,100.00,86.20,3.20,6.90,69.70,97.40
PPP10.ppp,2,38,0.55,1.09,100.00,100.00,100.00,96.30,1.10,14.20,68.50,99.40
PPP12.ppp,2,38,0.75,1.54,100.00,100.00,100.00,99.60,3.80,34.80,78.20,100.00
PPP13.ppp,3,38,0.63,1.36,100.00,100.00,100.00,70.50,2.60,5.00,71.00,98.10
PPP14.ppp,3,38,0.48,1.38,100.00,100.00,100.00,88.50,2.30,8.30,76.90,99.30
PPP15.ppp,2,38,0.63,1.22,100.00,100.00,0.00,75.40,2.80,36.20,67.50,94.70
PPP11.ppp,1,38,0.66,1.32,100.00,100.00,100.00,90.40,2.60,36.70,74.00,96.80
PPP17.ppp,3,38,0.73,1.48,100.00,100.00,100.00,90.30,3.20,29.00,82.10,99.00
PPP18.ppp,1,38,0.47,0.95,100.00,100.00,0.00,78.20,1.70,17.10,63.30,99.30
PPP19.ppp,2,38,0.51,0.98,100.00,0.00,100.00,94.90,3.00,4.60,68.00,95.30
