PPP,Turns,Adv,GoalVis%,VisMag,Omniscient A* Bot,WallFollower [l],WallFollower [r],Explorer,Random Bot,Explorer [Limited Memory: 5x5],Explorer [Noise: 0.10],Long Term Explorer
PPP0.ppp,4,38,0.81,1.32,100.00,100.00,100.00,96.30,2.10,27.70,77.80,96.90
PPP1.ppp,7,42,0.45,0.72,100.00,100.00,100.00,55.70,0.80,5.20,72.50,92.80
PPP2.ppp,4,38,0.78,1.13,100.00,100.00,0.00,90.70,3.30,8.30,72.40,91.20
PPP3.ppp,3,38,0.63,1.36,100.00,100.00,100.00,72.10,2.80,5.20,68.70,97.80
PPP4.ppp,2,38,0.38,1.08,100.00,100.00,100.00,78.90,2.30,12.30,66.60,95.70
PPP5.ppp,1,38,0.68,1.02,100.00,100.00,100.00,91.70,5.10,100.00,79.40,97.60
PPP6.ppp,1,38,0.64,1.27,100.00,100.00,100.00,87.80,2.40,37.10,76.10,96.30
PPP7.ppp,1,38,0.66,1.30,100.00,100.00,100.00,95.10,2.50,17.00,78.10,99.20
PPP8.ppp,3,38,0.75,1.50,100.00,100.00,98.50,91.00,3.30,24.50,77.80,100.00
PPP9.ppp,3,38,0.63,1.44,100.00,100.00,100.00,86.50,3.80,6.90,73.10,97.50
PPP10.ppp,2,38,0.55,1.09,100.00,100.00,100.00,95.10,2.10,12.50,68.80,99.90
PPP12.ppp,2,38,0.75,1.54,100.00,100.00,100.00,99.90,2.20,35.60,82.40,100.00
PPP13.ppp,3,38,0.63,1.36,100.00,100.00,100.00,73.20,1.90,6.20,67.70,99.00
PPP14.ppp,3,38,0.48,1.38,100.00,100.00,100.00,89.10,3.00,12.90,80.50,99.00
PPP15.ppp,2,38,0.63,1.22,100.00,100.00,0.00,69.90,3.50,33.60,67.30,95.40
PPP11.ppp,1,38,0.66,1.32,100.00,100.00,100.00,91.70,1.50,35.90,77.20,96.10
PPP17.ppp,3,38,0.73,1.48,100.00,100.00,100.00,91.10,2.80,28.60,80.40,98.50
PPP18.ppp,1,38,0.47,0.95,100.00,100.00,0.00,75.60,1.30,17.30,64.30,99.20
PPP19.ppp,2,38,0.51,0.98,100.00,0.00,100.00,94.40,3.20,4.60,69.20,96.30
PPP20.ppp,3,38,0.61,1.31,100.00,100.00,100.00,73.30,2.00,8.90,66.00,93.30
PPP21.ppp,4,38,0.66,1.29,100.00,100.00,98.80,90.30,1.60,8.90,76.60,93.80
PPP22.ppp,2,38,0.77,1.31,100.00,100.00,100.00,91.20,2.40,25.50,73.80,99.80
PPP23.ppp,4,38,0.45,0.81,100.00,100.00,100.00,94.60,1.50,14.80,73.40,99.30
PPP24.ppp,3,38,0.41,0.96,100.00,100.00,98.50,69.90,2.20,33.50,68.20,99.80
PPP25.ppp,3,38,0.63,1.36,100.00,100.00,100.00,74.50,2.10,4.80,68.90,98.50
PPP26.ppp,3,38,0.51,1.02,100.00,100.00,100.00,87.60,2.20,40.80,73.00,92.80
PPP27.ppp,2,38,0.67,1.30,100.00,100.00,100.00,70.50,3.90,37.70,69.60,100.00
PPP28.ppp,1,38,0.63,1.26,100.00,100.00,100.00,92.40,2.50,34.40,75.80,98.40
PPP29.ppp,1,38,0.64,1.27,100.00,100.00,100.00,88.60,3.30,38.40,77.10,96.90
PPP30.ppp,2,38,0.66,1.24,100.00,100.00,100.00,99.60,3.20,33.00,79.70,100.00
PPP31.ppp,2,38,0.67,1.12,100.00,99.10,100.00,96.00,2.30,24.60,74.50,100.00
PPP32.ppp,3,38,0.85,1.30,100.00,100.00,100.00,97.60,2.70,21.20,79.60,99.50
PPP33.ppp,3,38,0.50,0.87,100.00,100.00,100.00,99.80,0.80,17.60,78.60,100.00
PPP34.ppp,2,38,0.32,0.81,100.00,100.00,100.00,77.60,2.20,17.20,67.80,95.10
PPP35.ppp,2,38,0.75,1.59,100.00,100.00,100.00,99.60,3.70,31.10,78.10,100.00
PPP36.ppp,2,38,0.78,1.30,100.00,100.00,100.00,99.00,4.50,28.10,77.40,100.00
PPP37.ppp,3,38,0.85,1.47,100.00,100.00,100.00,89.60,3.20,20.40,77.00,88.40
PPP38.ppp,2,38,0.68,1.51,100.00,100.00,100.00,70.20,3.40,58.20,68.80,100.00
PPP39.ppp,1,38,0.64,1.27,100.00,100.00,100.00,88.70,2.80,38.40,75.90,97.20
PPP40.ppp,1,38,0.57,1.03,100.00,100.00,100.00,89.30,2.70,48.30,70.00,92.20
PPP41.ppp,3,38,0.33,1.27,100.00,100.00,100.00,82.20,2.40,2.00,74.30,90.80
PPP42.ppp,1,38,0.71,1.30,100.00,100.00,100.00,98.80,2.40,44.20,70.90,100.00
PPP43.ppp,2,38,0.58,1.04,100.00,100.00,98.50,93.30,2.20,20.70,71.00,97.80
PPP44.ppp,3,38,0.72,1.44,100.00,100.00,100.00,91.70,3.40,34.80,81.70,99.80
