PPP,Turns,Adv,GoalVis%,VisMag,Omniscient A* Bot,WallFollower [l],WallFollower [r],Explorer,Random Bot,Explorer [Limited Memory: 5x5],Explorer [Noise: 0.10],Long Term Explorer
PPP0.ppp,1,38,0.53,0.97,100.00,100.00,100.00,88.10,2.20,20.40,73.60,99.50
PPP1.ppp,2,38,0.58,1.04,100.00,100.00,100.00,82.80,2.10,24.90,76.20,99.60
PPP2.ppp,1,38,0.39,0.83,100.00,100.00,95.20,89.70,2.20,19.20,75.10,98.90
PPP3.ppp,4,38,0.19,1.08,100.00,100.00,0.00,98.60,1.20,26.40,73.50,100.00
PPP4.ppp,1,38,0.50,1.34,100.00,100.00,100.00,81.50,3.10,40.50,74.20,97.70
PPP5.ppp,3,38,0.58,1.10,100.00,100.00,100.00,84.40,1.90,32.10,85.40,99.80
PPP6.ppp,2,38,0.59,1.05,100.00,100.00,100.00,83.10,2.30,30.40,75.00,98.60
PPP7.ppp,3,38,0.48,1.00,100.00,100.00,100.00,80.60,2.00,35.80,85.80,100.00
PPP8.ppp,5,38,0.19,1.14,100.00,100.00,0.00,48.40,0.90,12.00,38.80,99.80
PPP9.ppp,1,38,0.08,1.04,100.00,100.00,0.00,76.20,1.50,15.80,51.40,97.60
PPP10.ppp,2,38,0.45,0.69,100.00,100.00,100.00,78.30,1.30,16.00,74.10,99.50
PPP11.ppp,3,38,0.21,1.18,100.00,100.00,100.00,87.60,1.40,23.80,70.70,100.00
PPP12.ppp,3,38,0.19,1.19,100.00,100.00,0.00,97.60,2.50,24.40,71.70,100.00
PPP13.ppp,5,38,0.27,1.00,100.00,100.00,0.00,64.00,2.10,9.20,45.40,100.00
PPP14.ppp,3,38,0.39,0.90,100.00,100.00,100.00,69.80,2.80,10.60,63.40,81.30
PPP15.ppp,5,38,0.24,1.20,100.00,100.00,100.00,89.40,1.90,32.90,70.50,100.00
PPP16.ppp,3,38,0.48,1.00,100.00,100.00,100.00,84.00,2.40,37.60,84.90,100.00
PPP17.ppp,5,38,0.35,1.16,100.00,99.20,0.00,69.60,1.40,0.60,69.70,73.70
PPP18.ppp,2,38,0.58,1.04,100.00,100.00,100.00,80.60,2.10,24.60,74.10,99.70
PPP19.ppp,4,38,0.39,1.11,100.00,100.00,100.00,76.40,1.90,20.10,67.30,95.60
PPP20.ppp,2,38,0.14,0.76,100.00,100.00,100.00,63.90,0.90,7.80,64.40,98.10
PPP21.ppp,2,38,0.53,1.03,100.00,100.00,100.00,79.40,2.30,14.90,74.60,100.00
PPP22.ppp,2,38,0.18,1.05,100.00,100.00,100.00,97.90,2.60,19.80,72.30,100.00
PPP23.ppp,2,38,0.65,1.23,100.00,100.00,100.00,98.90,4.00,26.60,80.10,100.00
PPP24.ppp,2,38,0.53,1.18,100.00,100.00,100.00,92.70,3.00,21.50,79.90,98.20
PPP25.ppp,4,38,0.18,1.24,100.00,100.00,0.00,25.90,1.20,7.20,39.50,100.00
PPP26.ppp,1,38,0.45,0.95,100.00,100.00,100.00,87.80,3.10,16.30,77.20,100.00
PPP27.ppp,2,38,0.58,1.04,100.00,100.00,100.00,80.50,2.50,23.60,75.30,99.90
PPP28.ppp,5,38,0.64,1.09,100.00,100.00,100.00,89.50,1.90,44.60,78.00,95.30
PPP29.ppp,1,38,0.33,0.86,100.00,100.00,100.00,88.30,1.80,22.90,70.20,100.00
PPP30.ppp,5,38,0.19,1.14,100.00,100.00,0.00,44.40,1.90,11.90,41.30,99.60
PPP31.ppp,3,38,0.62,1.33,100.00,100.00,100.00,75.90,3.20,22.30,72.10,99.80
PPP32.ppp,2,38,0.77,1.23,100.00,100.00,100.00,89.00,4.10,31.70,80.80,99.90
PPP33.ppp,1,38,0.56,1.15,100.00,100.00,100.00,73.50,1.60,38.10,76.80,92.90
PPP34.ppp,1,38,0.43,0.99,100.00,100.00,100.00,87.90,2.30,14.50,68.30,100.00
PPP35.ppp,3,38,0.40,1.03,100.00,100.00,0.00,75.70,1.30,1.10,64.70,83.70
PPP36.ppp,2,38,0.58,1.04,100.00,100.00,100.00,79.80,1.80,23.30,74.80,100.00
PPP37.ppp,2,38,0.38,1.43,100.00,100.00,100.00,68.20,1.50,16.70,53.40,94.70
PPP38.ppp,2,38,0.19,1.04,100.00,100.00,100.00,71.70,1.90,21.30,69.30,100.00
PPP39.ppp,2,38,0.58,1.04,100.00,100.00,100.00,83.90,2.60,25.30,75.40,99.90
PPP40.ppp,2,38,0.19,1.06,100.00,100.00,100.00,69.40,2.10,25.20,68.80,100.00
PPP41.ppp,1,38,0.65,1.30,100.00,100.00,100.00,98.50,2.80,50.60,81.70,100.00
PPP42.ppp,3,38,0.58,1.10,100.00,100.00,100.00,86.70,2.80,36.60,87.70,99.80
PPP43.ppp,4,38,0.18,1.24,100.00,100.00,0.00,25.50,0.80,7.40,40.50,99.90
PPP44.ppp,5,38,0.18,1.18,100.00,100.00,0.00,33.90,0.60,17.70,41.80,96.70
PPP45.ppp,2,38,0.44,1.09,100.00,100.00,100.00,79.10,2.60,14.80,73.80,100.00
PPP46.ppp,3,38,0.48,1.23,100.00,100.00,100.00,77.00,2.90,25.20,73.70,100.00
PPP47.ppp,4,38,0.30,1.07,100.00,100.00,100.00,80.10,1.40,13.80,68.70,99.80
PPP48.ppp,2,38,0.23,1.04,100.00,100.00,100.00,48.90,0.70,13.90,44.80,88.60
PPP49.ppp,1,38,0.55,0.90,100.00,100.00,100.00,97.30,2.40,19.30,77.10,100.00
PPP50.ppp,2,38,0.18,1.06,100.00,100.00,100.00,98.90,2.00,22.30,72.60,100.00
PPP51.ppp,2,38,0.56,1.05,100.00,100.00,100.00,87.90,2.00,49.80,86.30,100.00
PPP52.ppp,2,38,0.18,1.05,100.00,100.00,100.00,99.00,2.50,20.20,70.50,100.00
PPP53.ppp,5,38,0.70,1.27,100.00,99.50,0.00,87.10,2.30,22.60,76.70,89.10
PPP54.ppp,2,38,0.58,1.04,100.00,100.00,100.00,80.30,2.70,23.60,76.80,99.60
PPP55.ppp,2,38,0.58,1.04,100.00,100.00,100.00,84.40,2.50,24.70,75.90,100.00
PPP56.ppp,3,38,0.25,1.15,100.00,100.00,100.00,85.60,1.10,35.00,69.10,100.00
PPP57.ppp,3,38,0.44,0.95,100.00,100.00,100.00,96.50,2.60,19.40,78.40,100.00
PPP58.ppp,1,38,0.39,0.83,100.00,100.00,95.20,87.80,1.80,17.00,75.50,98.70
PPP59.ppp,3,38,0.53,1.06,100.00,100.00,100.00,77.10,1.80,13.60,74.50,99.90
