PPP,Turns,Adv,GoalVis%,StartVis%,VisMag,Obstacle Use,Unreachable Cells,OpenW,OpenH,AvgOpenW,AvgOpenH,VisWeighted,Omniscient A* Bot,WallFollower [l],WallFollower [r],Explorer,Random Bot,Explorer [Limited Memory: 5x5],Explorer [Noise: 0.10],Long Term Explorer,Bumper,Decision Bumper
PPP0.ppp,3,38,0.90,0.73,1.85,0.24,0,40,20,0.88,15.68,9.11,100.00,100.00,100.00,87.40,4.10,17.90,77.20,99.80,80.70,91.50
PPP1.ppp,3,38,0.61,0.79,1.55,0.30,0,40,20,0.82,15.36,7.72,100.00,100.00,100.00,76.50,2.90,15.40,76.00,99.60,84.80,82.80
PPP2.ppp,4,38,0.55,0.01,1.12,0.50,0,40,20,0.83,14.27,5.64,100.00,0.00,100.00,90.70,3.70,13.90,81.80,100.00,96.10,99.40
PPP3.ppp,10,38,0.21,0.19,0.63,1.12,0,24,20,0.40,11.68,2.31,100.00,100.00,0.00,86.50,0.70,19.10,59.40,99.50,0.00,0.00
PPP4.ppp,6,38,0.29,0.12,0.49,1.04,0,40,20,0.53,10.50,2.48,100.00,88.20,100.00,98.20,1.70,3.50,77.70,100.00,95.10,99.50
PPP5.ppp,2,38,0.41,0.70,1.33,0.44,0,40,20,0.72,14.32,6.37,100.00,100.00,100.00,85.40,2.60,25.00,83.40,99.80,98.50,99.90
PPP6.ppp,1,38,0.77,0.46,1.52,0.30,0,40,20,0.82,15.09,9.77,100.00,100.00,100.00,96.30,3.70,32.10,78.40,99.70,98.60,100.00
PPP7.ppp,3,38,0.81,0.78,1.74,0.22,0,40,20,0.88,15.95,8.79,100.00,100.00,100.00,92.20,4.60,15.40,76.80,99.70,86.90,90.20
PPP8.ppp,2,38,0.74,0.43,1.50,0.36,0,40,20,0.81,15.27,7.44,100.00,100.00,100.00,87.60,3.10,21.10,76.40,100.00,87.80,92.80
PPP9.ppp,1,38,0.79,0.73,1.77,0.22,0,40,20,0.83,16.41,10.70,100.00,100.00,100.00,86.90,3.80,24.80,78.90,100.00,95.20,100.00
PPP10.ppp,3,38,0.89,0.52,1.67,0.32,0,40,20,0.81,14.82,8.25,100.00,100.00,100.00,91.30,3.30,31.60,78.80,100.00,93.80,95.70
PPP11.ppp,2,38,0.66,0.33,1.17,0.40,0,40,20,0.89,15.36,6.29,100.00,100.00,0.00,84.30,4.40,15.50,75.20,98.30,28.10,21.90
PPP12.ppp,3,38,0.66,0.50,1.59,0.34,0,40,20,0.77,15.68,7.61,100.00,100.00,100.00,83.50,3.90,12.60,77.60,99.80,0.00,0.00
PPP13.ppp,2,38,0.07,0.14,0.53,0.96,0,40,20,0.69,12.00,2.45,100.00,49.00,0.00,67.40,0.00,6.70,19.10,77.50,75.60,85.10
PPP14.ppp,2,38,0.67,0.73,1.52,0.30,0,40,20,0.73,14.68,7.60,100.00,100.00,0.00,86.70,3.40,23.90,73.40,99.80,74.00,67.90
PPP15.ppp,2,38,0.34,0.26,1.39,0.44,0,40,20,0.88,14.64,6.41,100.00,100.00,100.00,79.40,2.70,33.40,80.70,99.40,55.50,46.60
PPP16.ppp,3,38,0.09,0.47,0.93,0.38,0,40,20,0.80,16.18,4.55,100.00,100.00,0.00,72.30,0.60,7.90,58.70,100.00,43.10,37.70
PPP17.ppp,2,38,0.60,0.37,0.97,0.58,0,40,20,0.71,13.23,5.22,100.00,100.00,100.00,94.60,2.90,15.80,76.00,99.90,96.10,99.00
PPP18.ppp,3,38,0.90,0.73,1.85,0.24,0,40,20,0.88,15.68,9.11,100.00,100.00,100.00,89.90,4.60,18.30,80.20,99.90,82.40,91.80
PPP19.ppp,2,38,0.37,0.29,0.53,1.06,0,36,20,0.51,13.27,2.55,100.00,100.00,100.00,64.10,2.00,9.80,70.00,95.20,79.00,87.00
PPP20.ppp,2,38,0.54,0.42,1.34,0.40,0,40,20,0.76,13.45,6.67,100.00,100.00,100.00,95.00,2.90,27.10,86.60,99.90,98.50,100.00
PPP21.ppp,8,42,0.28,0.23,0.52,1.16,0,40,14,0.58,8.23,2.49,100.00,100.00,93.90,65.20,0.40,0.80,57.10,100.00,0.00,0.00
PPP22.ppp,2,38,0.51,0.45,1.38,0.40,0,40,20,0.82,15.18,6.70,100.00,100.00,100.00,92.30,2.60,17.30,81.50,100.00,98.90,100.00
PPP23.ppp,2,38,0.50,0.57,1.40,0.36,0,40,20,0.85,13.95,7.07,100.00,100.00,100.00,97.50,3.70,23.00,91.40,100.00,100.00,100.00
PPP24.ppp,2,38,0.81,0.70,1.64,0.30,0,40,20,0.80,15.00,8.23,100.00,0.00,100.00,87.40,2.30,20.00,80.20,99.40,95.40,96.90
PPP25.ppp,1,38,0.84,0.59,1.74,0.30,0,40,20,0.86,15.18,10.54,100.00,100.00,100.00,94.30,4.40,22.60,79.00,100.00,100.00,100.00
PPP26.ppp,4,38,0.17,0.32,0.59,0.96,0,40,20,0.54,12.05,2.72,100.00,0.00,100.00,55.20,0.90,0.00,29.60,72.00,0.00,0.00
PPP27.ppp,1,38,0.80,0.60,1.73,0.26,0,40,20,0.87,15.27,10.56,100.00,100.00,100.00,90.70,3.20,24.20,80.00,100.00,100.00,100.00
PPP28.ppp,1,38,0.82,0.50,1.57,0.32,2,40,20,0.80,15.64,9.88,100.00,100.00,100.00,86.60,4.00,19.10,76.40,99.80,96.30,100.00
PPP29.ppp,3,38,0.25,0.40,1.39,0.42,0,40,20,0.80,15.41,6.19,100.00,100.00,100.00,63.70,1.30,6.60,57.70,99.50,0.00,0.00
PPP30.ppp,3,38,0.29,0.28,0.57,1.20,6,36,20,0.55,11.59,2.37,100.00,100.00,100.00,79.70,0.60,16.30,69.00,100.00,78.00,80.70
PPP31.ppp,1,38,0.80,0.75,1.65,0.22,0,40,20,0.83,16.27,10.41,100.00,100.00,100.00,97.20,4.20,33.40,79.90,99.90,100.00,100.00
PPP32.ppp,2,38,0.70,0.53,1.21,0.46,0,40,20,0.77,14.64,6.55,100.00,100.00,100.00,85.70,3.50,23.70,79.70,97.30,95.60,98.70
PPP33.ppp,1,38,0.88,0.72,1.73,0.26,2,40,20,0.85,16.23,10.70,100.00,100.00,0.00,94.30,4.40,28.20,77.70,98.40,98.00,100.00
PPP34.ppp,2,38,0.45,0.67,1.39,0.36,0,40,20,0.71,15.05,6.75,100.00,0.00,100.00,81.70,2.30,41.40,74.60,98.30,99.60,100.00
PPP35.ppp,2,38,0.59,0.36,1.07,0.48,0,40,20,0.73,14.95,5.66,100.00,100.00,100.00,95.90,3.80,26.30,78.70,100.00,98.60,100.00
PPP36.ppp,2,38,0.85,0.42,1.70,0.36,2,40,20,0.89,15.64,8.24,100.00,100.00,0.00,98.70,5.50,26.30,81.70,100.00,59.50,55.20
PPP37.ppp,3,38,0.66,0.83,1.68,0.22,0,40,20,0.86,16.41,8.32,100.00,100.00,0.00,73.70,2.80,21.00,73.10,99.80,70.30,66.20
PPP38.ppp,1,38,0.81,0.52,1.57,0.26,0,40,20,0.82,15.64,10.06,100.00,100.00,100.00,82.60,3.30,20.20,80.80,97.90,97.70,100.00
PPP39.ppp,2,38,0.19,0.35,0.52,1.00,140,32,20,0.53,11.36,2.53,100.00,100.00,100.00,70.80,1.40,14.50,64.10,100.00,0.00,0.00
PPP40.ppp,3,38,0.85,0.65,1.73,0.26,0,40,20,0.87,15.50,8.62,100.00,100.00,100.00,90.70,3.40,29.70,78.90,100.00,96.60,98.00
PPP41.ppp,2,38,0.35,0.14,1.05,0.38,0,40,20,0.88,13.41,5.44,100.00,0.00,0.00,80.00,2.30,11.40,64.60,99.60,55.50,43.40
PPP42.ppp,2,38,0.83,0.61,1.60,0.44,0,40,20,0.77,15.00,7.69,100.00,0.00,100.00,84.60,4.00,29.90,80.50,99.60,97.20,99.40
PPP43.ppp,2,38,0.24,0.14,0.91,0.44,0,40,20,0.79,13.50,4.72,100.00,100.00,0.00,81.00,2.10,27.20,58.60,100.00,64.10,52.20
PPP44.ppp,2,38,0.29,0.47,0.86,0.56,0,40,20,0.77,13.59,4.76,100.00,100.00,100.00,98.40,1.70,8.90,66.40,100.00,66.10,61.30
