PPP,Turns,Adv,GoalVis%,StartVis%,VisMag,Obstacle Use,Unreachable Cells,OpenW,OpenH,AvgOpenW,AvgOpenH,VisWeighted,Omniscient A* Bot,WallFollower [l],WallFollower [r],Explorer,Random Bot,Explorer [Limited Memory: 5x5],Explorer [Noise: 0.10],Long Term Explorer,Bumper,Decision Bumper
PPP0.ppp,3,38,0.45,0.70,1.23,0.36,0,40,20,0.80,15.45,6.32,100.00,100.00,100.00,87.30,2.00,8.70,65.30,100.00,32.20,38.90
PPP1.ppp,6,44,0.19,0.23,0.52,1.00,76,40,15,0.59,9.14,2.52,100.00,0.00,100.00,28.80,0.00,11.40,25.60,74.50,0.00,0.00
PPP2.ppp,4,38,0.78,0.06,1.47,0.40,0,40,20,0.81,13.50,7.00,100.00,100.00,100.00,83.50,3.60,25.10,71.20,97.20,42.10,39.20
PPP3.ppp,2,38,0.38,0.86,1.61,0.28,0,40,20,0.88,14.73,7.68,100.00,100.00,100.00,76.80,2.00,18.30,66.70,100.00,67.20,74.60
PPP4.ppp,2,38,0.17,0.92,1.66,0.28,0,40,20,0.92,16.55,7.34,100.00,100.00,100.00,87.80,0.80,9.90,58.00,99.90,0.00,0.00
PPP5.ppp,3,38,0.65,0.75,1.51,0.30,0,40,20,0.81,15.91,7.71,100.00,0.00,0.00,70.50,5.20,19.20,72.70,99.40,75.40,84.60
PPP6.ppp,3,38,0.15,0.83,1.51,0.28,0,40,20,0.88,15.91,6.92,100.00,100.00,100.00,83.00,2.10,17.70,65.50,99.20,41.90,39.20
PPP7.ppp,4,38,0.32,0.81,1.38,0.40,0,40,20,0.73,14.14,6.51,100.00,100.00,100.00,88.80,1.80,5.60,65.20,100.00,0.00,0.00
PPP8.ppp,3,38,0.32,0.14,1.35,0.38,0,40,20,0.88,14.50,6.22,100.00,0.00,0.00,73.60,2.60,27.20,63.10,100.00,0.00,0.00
PPP9.ppp,4,38,0.37,0.84,1.33,0.28,0,40,20,0.86,15.68,6.97,100.00,50.80,100.00,73.20,0.00,36.40,63.50,98.60,0.00,0.00
PPP10.ppp,2,38,0.67,0.12,1.26,0.34,0,40,20,0.79,14.59,6.51,100.00,100.00,0.00,97.10,4.30,49.80,79.10,100.00,95.70,98.20
PPP11.ppp,3,38,0.66,0.89,1.68,0.32,0,40,20,0.86,15.95,7.84,100.00,0.00,100.00,82.10,2.70,11.40,77.00,100.00,0.00,0.00
PPP12.ppp,3,38,0.65,0.86,1.63,0.26,0,40,20,0.80,16.18,8.09,100.00,0.00,0.00,82.60,6.70,15.00,71.60,99.80,35.90,28.00
PPP13.ppp,3,38,0.32,0.88,1.67,0.30,0,40,20,0.87,15.41,7.60,100.00,100.00,100.00,96.20,2.50,18.00,75.70,100.00,70.50,66.70
PPP14.ppp,6,44,0.21,0.32,0.77,1.12,168,40,14,0.60,9.18,2.96,100.00,100.00,100.00,69.30,0.30,28.00,74.70,100.00,0.00,0.00
PPP15.ppp,2,38,0.70,0.76,1.33,0.36,0,40,20,0.82,15.68,6.95,100.00,100.00,100.00,93.10,3.10,18.00,76.90,100.00,63.40,56.60
PPP16.ppp,3,38,0.21,0.70,1.22,0.42,0,40,20,0.78,13.14,5.95,100.00,100.00,100.00,66.50,1.00,12.30,65.10,100.00,23.10,16.20
PPP17.ppp,5,38,0.47,0.35,1.42,0.40,0,40,20,0.74,14.05,6.58,100.00,0.00,0.00,60.60,3.00,9.10,50.50,97.90,0.00,0.00
PPP18.ppp,6,44,0.22,0.32,0.80,1.02,0,40,14,0.62,9.82,3.40,100.00,0.00,100.00,35.20,0.00,14.20,43.70,100.00,0.00,0.00
PPP19.ppp,6,38,0.42,0.17,0.66,1.00,0,40,20,0.52,9.59,3.02,100.00,100.00,100.00,49.00,0.80,4.30,32.00,22.20,0.00,0.00
PPP20.ppp,4,38,0.30,0.90,1.77,0.28,0,40,20,0.85,16.05,7.84,100.00,71.60,100.00,72.00,0.00,5.60,41.80,97.10,0.00,0.00
PPP21.ppp,1,38,0.58,0.79,1.75,0.24,0,40,20,0.87,15.91,10.41,100.00,100.00,100.00,98.30,3.60,29.40,86.90,100.00,96.60,100.00
PPP22.ppp,3,38,0.46,0.72,1.47,0.38,0,40,20,0.80,14.41,7.11,100.00,100.00,0.00,85.90,4.10,43.60,74.90,95.80,79.00,78.20
PPP23.ppp,2,38,0.71,0.12,1.29,0.30,0,40,20,0.82,15.14,6.78,100.00,100.00,0.00,94.60,3.70,33.40,81.40,100.00,94.20,96.40
PPP24.ppp,3,38,0.33,0.84,1.49,0.38,0,40,20,0.87,13.64,7.10,100.00,0.00,100.00,83.20,1.50,9.20,65.20,100.00,51.80,49.30
PPP25.ppp,2,38,0.58,0.12,1.27,0.36,0,40,20,0.78,14.23,6.42,100.00,100.00,0.00,94.20,3.30,9.20,73.50,100.00,80.80,86.10
PPP26.ppp,3,38,0.51,0.75,1.61,0.28,0,40,20,0.84,16.23,7.81,100.00,100.00,0.00,64.70,4.80,17.60,79.00,97.00,0.00,0.00
PPP27.ppp,7,40,0.41,0.15,0.67,0.86,10,40,12,0.85,8.95,3.85,100.00,100.00,100.00,82.60,0.20,7.50,62.80,93.60,0.00,0.00
PPP28.ppp,4,38,0.32,0.77,1.29,0.48,0,40,20,0.70,15.32,6.03,100.00,100.00,100.00,66.70,1.80,2.90,64.80,100.00,0.00,0.00
PPP29.ppp,2,38,0.68,0.83,1.62,0.44,2,40,20,0.89,14.59,7.86,100.00,0.00,100.00,97.10,2.30,9.20,69.80,100.00,52.30,52.30
PPP30.ppp,3,38,0.25,0.83,1.49,0.32,0,40,20,0.89,15.77,7.02,100.00,100.00,100.00,66.30,2.40,20.70,60.10,99.10,51.30,34.90
PPP31.ppp,6,40,0.83,0.17,1.72,0.40,0,40,20,0.86,15.55,7.84,100.00,0.00,0.00,87.50,1.90,14.50,79.70,100.00,0.00,0.00
PPP32.ppp,10,56,0.33,0.23,0.66,1.00,4,40,16,0.63,9.09,3.10,100.00,0.00,0.00,67.00,0.10,8.90,36.60,76.30,0.00,0.00
PPP33.ppp,6,38,0.41,0.43,0.92,0.84,0,24,20,0.48,13.09,4.15,100.00,100.00,100.00,64.80,1.70,11.10,58.10,99.90,33.70,34.80
PPP34.ppp,4,38,0.38,0.46,1.27,0.38,0,40,20,0.88,14.91,6.41,100.00,74.50,100.00,70.30,0.00,15.70,67.70,97.60,40.60,38.40
PPP35.ppp,5,38,0.49,0.57,1.41,0.30,0,40,20,0.91,15.00,7.32,100.00,100.00,0.00,79.50,4.90,10.60,71.60,99.00,38.80,40.60
PPP36.ppp,3,38,0.33,0.78,1.36,0.36,0,40,20,0.79,15.55,6.65,100.00,100.00,100.00,77.40,2.60,10.70,63.80,99.80,0.00,0.00
PPP37.ppp,2,38,0.51,0.73,1.20,0.42,0,40,20,0.82,13.73,6.29,100.00,100.00,100.00,91.90,2.10,22.60,71.50,96.30,54.50,51.00
PPP38.ppp,7,48,0.23,0.12,0.50,1.04,0,40,12,0.84,8.50,2.91,100.00,100.00,100.00,82.00,0.00,9.80,66.00,98.50,0.00,0.00
PPP39.ppp,3,38,0.45,0.84,1.59,0.32,0,40,20,0.82,15.68,7.52,100.00,100.00,100.00,68.40,2.40,4.90,68.40,99.50,0.00,0.00
PPP40.ppp,7,44,0.21,0.35,0.66,0.90,0,40,16,0.70,10.05,3.27,100.00,0.00,0.00,80.10,0.00,4.60,49.80,95.70,0.00,0.00
PPP41.ppp,2,38,0.46,0.80,1.36,0.34,0,40,20,0.77,14.91,6.63,100.00,100.00,100.00,72.90,2.20,27.90,73.10,99.20,0.00,0.00
